CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
ChangeRequest,,,,
ChangeRequest,approvalAuthority,AGENT,,AGENT responsible for approving a document.
ChangeRequest,dateOfIssue,date,,Release date for the document.
ChangeRequest,issuingOrganization,AGENT,,AGENT responsible for producing a document.
ChangeRequest,references,ENTITY,,Source Materials used in the development of a document.
ChangeRequest,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
ChangeRequest,versionNumber,string,,
ChangeRequest,definedIn,FILE,,The file an ENTITY is defined or contained in
ChangeRequest,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
ChangeRequest,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ChangeRequest,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ChangeRequest,generatedAtTime,dateTime,,The time this entity was created and available for use
ChangeRequest,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ChangeRequest,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ChangeRequest,title,string,,"A short, human-readable identifying label."
ChangeRequest,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ChangeRequest,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ChangeRequest,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ChangeRequest,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ChangeRequest,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
Change_Authorization,,,,
Change_Authorization,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
Change_Authorization,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
Change_Authorization,endedAtTime,dateTime,,The time an activity was ended
Change_Authorization,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
Change_Authorization,startedAtTime,dateTime,,The time an activity was started
Change_Authorization,title,string,,"A short, human-readable identifying label."
Change_Authorization,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
Change_Authorization,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
Change_Authorization,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
ControlCoupleCoverageReport,,,,
ControlCoupleCoverageReport,analyzes,ENTITY,,ENTITY(s) under analysis
ControlCoupleCoverageReport,metric,float,,provides a numerical result value from the analysis that was performed
ControlCoupleCoverageReport,producedBy,ACTIVITY,,ACTIVITY(s) (e.g. ANALYSIS) producing this report
ControlCoupleCoverageReport,result,ANALYSIS_RESULT,,Passed/Failed/Indeterminate status of this report
ControlCoupleCoverageReport,definedIn,FILE,,The file an ENTITY is defined or contained in
ControlCoupleCoverageReport,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ControlCoupleCoverageReport,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ControlCoupleCoverageReport,generatedAtTime,dateTime,,The time this entity was created and available for use
ControlCoupleCoverageReport,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ControlCoupleCoverageReport,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ControlCoupleCoverageReport,title,string,,"A short, human-readable identifying label."
ControlCoupleCoverageReport,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ControlCoupleCoverageReport,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ControlCoupleCoverageReport,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ControlCoupleCoverageReport,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ControlCoupleCoverageReport,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ControlCouplingAnalysis,,,,
ControlCouplingAnalysis,performedBy,AGENT,,"Entity that is responsible for producing an analysis, could be a person or a tool. "
ControlCouplingAnalysis,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ControlCouplingAnalysis,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ControlCouplingAnalysis,endedAtTime,dateTime,,The time an activity was ended
ControlCouplingAnalysis,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ControlCouplingAnalysis,startedAtTime,dateTime,,The time an activity was started
ControlCouplingAnalysis,title,string,,"A short, human-readable identifying label."
ControlCouplingAnalysis,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
ControlCouplingAnalysis,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
ControlCouplingAnalysis,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
DataAndControlCouple,,,,
